股票代码,股票简称,最新价,最新涨跌幅,个股热度[20251128],个股热度排名[20251128],market_code,code
600678.SH,四川金顶,11.1,10.009910803,129575.0,29,17,600678
002519.SZ,银河电子,5.14,10.064239829,126192.5,30,33,002519
600977.SH,中国电影,17.29,9.987277354,112259.5,31,17,600977
300456.SZ,赛微电子,48.51,0.061881188,111452.0,32,33,300456
000566.SZ,海南海药,8.3,2.342786683,111217.0,33,33,000566
000002.SZ,万科A,5.38,-1.645338208,108850.5,34,33,000002
002903.SZ,宇环数控,24.46,9.982014388,107368.5,35,33,002903
601138.SH,工业富联,60.72,0.746640119,106945.5,36,17,601138
002759.SZ,天际股份,45.03,0.446129824,106740.0,37,33,002759
002632.SZ,道明光学,12.44,9.991158267,105802.5,38,33,002632
603019.SH,中科曙光,99.16,0.030263291,104038.0,39,17,603019
002474.SZ,榕基软件,11,-0.99009901,103638.0,40,33,002474
601010.SH,文峰股份,2.97,10,103146.5,41,17,601010
000572.SZ,海马汽车,9.04,5.11627907,102623.0,42,33,000572
002317.SZ,众生药业,23.95,-9.996242014,101880.5,43,33,002317
000973.SZ,佛塑科技,13.78,8.503937008,100613.0,44,33,000973
300475.SZ,香农芯创,141.89,6.348373557,100579.0,45,33,300475
600157.SH,永泰能源,1.61,1.898734177,100313.5,46,17,600157
603216.SH,梦天家居,28.66,10.019193858,97818.0,47,17,603216
603933.SH,睿能科技,23.02,9.985666507,97466.0,48,17,603933
002402.SZ,和而泰,49.8,2.680412371,97308.0,49,33,002402
000952.SZ,广济药业,9.38,-9.980806142,96675.0,50,33,000952
